[ 2025-05-04 01:29:14,261 ] 19 root - INFO - Initiate the data ingestion
[ 2025-05-04 01:29:45,380 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-04 01:29:45,380 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-04 01:29:45,380 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-04 01:29:45,444 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-04 01:29:45,444 ] 21 root - INFO - Data Initiation Completed
[ 2025-05-04 01:29:45,444 ] 25 root - INFO - Initiate the data Validation
[ 2025-05-04 01:29:45,552 ] 32 root - INFO - Required number of columns:2
[ 2025-05-04 01:29:45,552 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-04 01:29:45,552 ] 32 root - INFO - Required number of columns:2
[ 2025-05-04 01:29:45,552 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-04 01:29:45,765 ] 27 root - INFO - data Validation Completed
[ 2025-05-04 01:29:45,765 ] 30 root - INFO - data Transformation started
[ 2025-05-04 01:29:45,765 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-04 01:29:45,765 ] 65 root - INFO - Starting data transformation
[ 2025-05-04 01:29:45,821 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-04 01:29:45,821 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-04 01:29:45,848 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-04 01:29:45,855 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-04 01:29:45,855 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-04 01:29:45,863 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-04 01:29:45,867 ] 34 root - INFO - data Transformation completed
[ 2025-05-04 01:29:45,867 ] 36 root - INFO - Model Training sstared
